Masked Account ID,Maked Primary Campaign,Stage,Account Type,Billing Zip/Postal Code,Fiscal Period,Close Date,Amount,ZCTA,Year,Pop,Households,HH Income,Education Years,Minority %,Poor %,Poor Family %,Car or Van %,Public Transport %,Health Ins %,No Health Ins %,Unemployed %,Employed %,Armed Forces %,Not in Labor Force %,Under 10 %,Under 35 %,Over 65 %,Over 85 %,High school %,College %,0-50k %,50-100k %,100-150k %,150-200k %,200k+ %,Minority,Under 10,Under 35,Over 65,Over 85,Male 10-14,Male 15-17,Male 18-19,Male 20,Male 21,Male 22-24,Male 25-29,Male 30-34,Female 10-14,Female 15-17,Female 18-19,Female 20,Female 21,Female 22-24,Female 25-29,Female 30-34,Ed Pop,Less than High School,High school,GED,Some college to Associates Degree,Bachelor's Degree or Higher,$0-25k,$25-50k,$50-75k,$75-100k,$100-125k,$125-150k,$150-200k,$200k+,Poverty Pop,Poor,Poor Family,Transport Pop,Car or Van,Carpool,Public Transport,Worked from Home,Health Ins Pop,Health Ins,No Health Ins,Labor Population,Armed Forces,Employed,Unemployed,Not in Labor Force,Num Donations,Repeat Donor
21,Campaign Two 2020,Closed Won,Corporate,37203,Q3-2020,2020-09-24,5000.0,37236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True
22,,Closed Won,Corporate,98004,Q2-2021,2021-06-22,3499.65,98009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False
23,Campaign Two 2019,Closed Won,Corporate,90067,Q3-2019,2019-08-20,2500.0,90067.0,2020.0,2560.0,1501.0,111.6222518,15.72454826,0.28828125,0.064623584,0,0.590631365,0.012219959,0.983203125,0.016796875,0.030354853,0.424112869,0,0.545532279,0.058984375,0.20546875,0.516015625,0.140625,0.109739974,1.564565888,0.327781479,0.08461026,0.227181879,0.123917388,0.236508994,738.0,151.0,526.0,1321.0,360.0,45.0,4.0,0.0,0.0,0.0,8.0,41.0,68.0,25.0,0.0,0.0,0.0,0.0,58.0,68.0,58.0,2269.0,34.0,169.0,46.0,2020.0,1530.0,291.0,201.0,88.0,39.0,260.0,81.0,186.0,355.0,1501.0,97.0,0.0,982.0,580.0,0.0,12.0,299.0,2560.0,2517.0,43.0,2339.0,0.0,992.0,71.0,1276.0,9,True
24,,Closed Won,Corporate,94404,Q2-2021,2021-05-18,2400.0,94404.0,2020.0,36086.0,13818.0,141.0243885,15.67213238,0.589092723,0.044290056,0.013388334,0.665658094,0.067808515,0.981302959,0.018697041,0.02207864,0.652926543,0,0.324994817,0.129219088,0.421659369,0.173419054,0.022501801,0.107580384,1.601304233,0.139311044,0.149659864,0.188811695,0.160008684,0.362208713,21258.0,4663.0,15216.0,6258.0,812.0,1047.0,664.0,235.0,101.0,72.0,355.0,1393.0,1664.0,1081.0,556.0,157.0,97.0,30.0,499.0,1089.0,1513.0,26529.0,980.0,1686.0,188.0,23675.0,18806.0,852.0,1073.0,1009.0,1059.0,1471.0,1138.0,2211.0,5005.0,13818.0,612.0,185.0,18508.0,12320.0,1640.0,1255.0,2328.0,35995.0,35322.0,673.0,28942.0,0.0,18897.0,639.0,9406.0,3,True
25,Campaign Two 2018,Closed Won,Household,90005,Q3-2018,2018-09-04,5000.0,90005.0,2021.0,36910.0,15993.0,61.91536922,12.20468808,0.793660255,0.249296567,0.083036328,0.508790489,0.256057629,0.784315855,0.215684145,0.031000454,0.659806531,0,0.309193014,0.103305337,0.483446221,0.124898402,0.022405852,0.49066076,0.865005537,0.544550741,0.274119927,0.094916526,0.04233102,0.044081786,29294.0,3813.0,17844.0,4610.0,827.0,972.0,488.0,387.0,209.0,151.0,646.0,2389.0,2052.0,998.0,420.0,245.0,243.0,202.0,1046.0,1802.0,1781.0,27090.0,7851.0,5189.0,252.0,13798.0,9635.0,4668.0,4041.0,2966.0,1418.0,749.0,769.0,677.0,705.0,15993.0,3987.0,1328.0,19851.0,10100.0,1098.0,5083.0,2062.0,36827.0,28884.0,7943.0,30806.0,0.0,20326.0,955.0,9525.0,21,True
26,Campaign Two 2017,Closed Won,Household,93065,Q3-2017,2017-09-12,500.0,93094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,True
27,Campaign Two 2019,Closed Won,Household,,Q3-2016,2016-09-20,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,True
28,Campaign One 2014,Closed Won,Household,91302,Q4-2014,2014-10-29,40.0,91372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,True
29,,Closed Won,Household,93550,Q1-2021,2021-02-26,300.0,93599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True
30,Campaign Two 2022,Closed Won,Household,91405,Q4-2016,2016-12-17,10.0,91499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,True
31,Campaign One 2014,Closed Won,Household,91604,Q4-2014,2014-10-10,1000.0,91614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,True
32,Campaign One 2014,Closed Won,Household,90064,Q4-2014,2014-10-27,1000.0,90064.0,2021.0,25161.0,11144.0,119.6625987,15.60005226,0.375144072,0.086055276,0.028176597,0.634680743,0.035938969,0.962597797,0.037402203,0.029979821,0.676707985,0,0.293312194,0.12507452,0.424029252,0.163387783,0.022852828,0.131852626,1.566501176,0.235104092,0.207286432,0.160624551,0.117103374,0.279881551,9439.0,3147.0,10669.0,4111.0,575.0,509.0,334.0,92.0,62.0,88.0,365.0,968.0,1420.0,464.0,287.0,94.0,63.0,82.0,439.0,1141.0,1114.0,19135.0,896.0,1480.0,147.0,16612.0,13363.0,1281.0,1339.0,1305.0,1005.0,1048.0,742.0,1305.0,3119.0,11144.0,959.0,314.0,13829.0,8777.0,699.0,497.0,3045.0,25052.0,24115.0,937.0,20814.0,0.0,14085.0,624.0,6105.0,51,True
33,Campaign One 2015,Closed Won,Household,90405,Q3-2014,2014-08-15,1500.0,90409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,True
34,Campaign One 2015,Closed Won,Household,91030,Q3-2015,2015-09-11,300.0,91031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,True
35,Campaign One 2014,Closed Won,Household,,Q4-2014,2014-10-13,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,True
